,rainJanuary,rainFebruary,rainMarch,rainApril,rainMay,rainJune,rainJuly,rainAugust,rainSeptember,rainOctober,rainNovember,rainDecember,sunJanuary,sunFebruary,sunMarch,sunApril,sunMay,sunJune,sunJuly,sunAugust,sunSeptember,sunOctober,sunNovember,sunDecember,index_right,minTempJanuary,minTempFebruary,minTempMarch,minTempApril,minTempMay,minTempJune,minTempJuly,minTempAugust,minTempSeptember,minTempOctober,minTempNovember,minTempDecember
10,90.6,26.5,39.9,,,,66.7,115.2,171.9,124.3,103.4,70.5,58.6,84.15,121.575,197.8333333333333,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336,27,-6.4,-6.45,-4.05,-2.4,2.0,7.9,9.8,9.1,6.3,5.0,-1.7,-3.7
11,90.6,26.5,39.9,,,,66.7,115.2,171.9,124.3,103.4,70.5,58.6,84.15,121.575,197.8333333333333,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336,27,-6.4,-6.45,-4.05,-2.4,2.0,7.9,9.8,9.1,6.3,5.0,-1.7,-3.7
12,90.6,26.5,39.9,,,,66.7,115.2,171.9,124.3,103.4,70.5,58.6,84.15,121.575,197.8333333333333,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336,14,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
13,90.6,26.5,39.9,,,,66.7,115.2,171.9,124.3,103.4,70.5,58.6,84.15,121.575,197.8333333333333,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336,14,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
14,90.6,26.5,39.9,,,,66.7,115.2,171.9,124.3,103.4,70.5,58.6,84.15,121.575,197.8333333333333,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336,27,-6.4,-6.45,-4.05,-2.4,2.0,7.9,9.8,9.1,6.3,5.0,-1.7,-3.7
15,90.6,26.5,39.9,,,,66.7,115.2,171.9,124.3,103.4,70.5,58.6,84.15,121.575,197.8333333333333,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336,27,-6.4,-6.45,-4.05,-2.4,2.0,7.9,9.8,9.1,6.3,5.0,-1.7,-3.7
16,90.6,26.5,39.9,,,,66.7,115.2,171.9,124.3,103.4,70.5,58.6,84.15,121.575,197.8333333333333,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336,27,-6.4,-6.45,-4.05,-2.4,2.0,7.9,9.8,9.1,6.3,5.0,-1.7,-3.7
17,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,14,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
18,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,14,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
19,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,14,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
20,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,14,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
21,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,14,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
22,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,14,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
23,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,14,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
24,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,5,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
25,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,55.45,70.65,97.675,166.86666666666667,212.5,193.9666666666667,174.4,181.5666666666667,152.1,82.43333333333334,70.63333333333334,42.9,14,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
26,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,55.45,70.65,97.675,166.86666666666667,212.5,193.9666666666667,174.4,181.5666666666667,152.1,82.43333333333334,70.63333333333334,42.9,14,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
27,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,55.45,70.65,97.675,166.86666666666667,212.5,193.9666666666667,174.4,181.5666666666667,152.1,82.43333333333334,70.63333333333334,42.9,14,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
28,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,14,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
29,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,5,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
30,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,5,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
31,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,55.45,70.65,97.675,166.86666666666667,212.5,193.9666666666667,174.4,181.5666666666667,152.1,82.43333333333334,70.63333333333334,42.9,14,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
32,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,55.45,70.65,97.675,166.86666666666667,212.5,193.9666666666667,174.4,181.5666666666667,152.1,82.43333333333334,70.63333333333334,42.9,14,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
33,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,55.45,70.65,97.675,166.86666666666667,212.5,193.9666666666667,174.4,181.5666666666667,152.1,82.43333333333334,70.63333333333334,42.9,14,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
34,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,55.45,70.65,97.675,166.86666666666667,212.5,193.9666666666667,174.4,181.5666666666667,152.1,82.43333333333334,70.63333333333334,42.9,4,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
35,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,55.45,70.65,97.675,166.86666666666667,212.5,193.9666666666667,174.4,181.5666666666667,152.1,82.43333333333334,70.63333333333334,42.9,4,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
36,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,55.45,70.65,97.675,166.86666666666667,212.5,193.9666666666667,174.4,181.5666666666667,152.1,82.43333333333334,70.63333333333334,42.9,4,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
37,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,55.45,70.65,97.675,166.86666666666667,212.5,193.9666666666667,174.4,181.5666666666667,152.1,82.43333333333334,70.63333333333334,42.9,14,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
38,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,55.45,70.65,97.675,166.86666666666667,212.5,193.9666666666667,174.4,181.5666666666667,152.1,82.43333333333334,70.63333333333334,42.9,14,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
39,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,55.45,70.65,97.675,166.86666666666667,212.5,193.9666666666667,174.4,181.5666666666667,152.1,82.43333333333334,70.63333333333334,42.9,4,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
40,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,55.45,70.65,97.675,166.86666666666667,212.5,193.9666666666667,174.4,181.5666666666667,152.1,82.43333333333334,70.63333333333334,42.9,4,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
41,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4,55.45,70.65,97.675,166.86666666666667,212.5,193.9666666666667,174.4,181.5666666666667,152.1,82.43333333333334,70.63333333333334,42.9,4,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
42,89.2,26.9,24.6,,,47.5,36.2,79.2,85.6,63.5,65.2,86.2,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,5,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
43,89.2,26.9,24.6,,,47.5,36.2,79.2,85.6,63.5,65.2,86.2,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,5,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
44,89.2,26.9,24.6,,,47.5,36.2,79.2,85.6,63.5,65.2,86.2,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,5,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
45,89.2,26.9,24.6,,,47.5,36.2,79.2,85.6,63.5,65.2,86.2,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,5,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
46,89.2,26.9,24.6,,,47.5,36.2,79.2,85.6,63.5,65.2,86.2,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,5,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
47,89.2,26.9,24.6,,,47.5,36.2,79.2,85.6,63.5,65.2,86.2,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,5,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
48,89.2,26.9,24.6,,,47.5,36.2,79.2,85.6,63.5,65.2,86.2,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,5,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
49,89.2,26.9,24.6,,,47.5,36.2,79.2,85.6,63.5,65.2,86.2,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,5,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
50,89.2,26.9,24.6,,,47.5,36.2,79.2,85.6,63.5,65.2,86.2,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,5,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
51,89.2,26.9,24.6,,,47.5,36.2,79.2,85.6,63.5,65.2,86.2,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,5,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
52,89.2,26.9,24.6,,,47.5,36.2,79.2,85.6,63.5,65.2,86.2,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,5,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
53,89.2,26.9,24.6,,,47.5,36.2,79.2,85.6,63.5,65.2,86.2,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,5,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
54,76.5,30.7,29.7,,,,37.7,112.8,134.9,105.4,100.9,97.7,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,5,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
55,76.5,30.7,29.7,,,,37.7,112.8,134.9,105.4,100.9,97.7,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,5,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
56,76.5,30.7,29.7,,,,37.7,112.8,134.9,105.4,100.9,97.7,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,5,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
57,76.5,30.7,29.7,,,,37.7,112.8,134.9,105.4,100.9,97.7,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,5,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
58,76.5,30.7,29.7,,,,37.7,112.8,134.9,105.4,100.9,97.7,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,5,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
59,76.5,30.7,29.7,,,,37.7,112.8,134.9,105.4,100.9,97.7,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,5,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
60,76.5,30.7,29.7,,,,37.7,112.8,134.9,105.4,100.9,97.7,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,5,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
61,76.5,30.7,29.7,,,,37.7,112.8,134.9,105.4,100.9,97.7,59.66666666666666,73.60000000000001,106.15,174.20000000000002,216.96666666666667,190.5,173.03333333333333,181.2,155.56666666666666,85.39999999999999,66.46666666666667,42.2,34,-8.0,-8.25,-6.9,-1.9,2.2,7.4,6.9,7.4,3.8,2.7,-2.5,-6.0
62,76.5,30.7,29.7,,,,37.7,112.8,134.9,105.4,100.9,97.7,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,5,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
63,76.5,30.7,29.7,,,,37.7,112.8,134.9,105.4,100.9,97.7,59.66666666666666,73.60000000000001,106.15,174.20000000000002,216.96666666666667,190.5,173.03333333333333,181.2,155.56666666666666,85.39999999999999,66.46666666666667,42.2,34,-8.0,-8.25,-6.9,-1.9,2.2,7.4,6.9,7.4,3.8,2.7,-2.5,-6.0
64,76.5,30.7,29.7,,,,37.7,112.8,134.9,105.4,100.9,97.7,59.66666666666666,73.60000000000001,106.15,174.20000000000002,216.96666666666667,190.5,173.03333333333333,181.2,155.56666666666666,85.39999999999999,66.46666666666667,42.2,34,-8.0,-8.25,-6.9,-1.9,2.2,7.4,6.9,7.4,3.8,2.7,-2.5,-6.0
65,76.5,30.7,29.7,,,,37.7,112.8,134.9,105.4,100.9,97.7,59.66666666666666,73.60000000000001,106.15,174.20000000000002,216.96666666666667,190.5,173.03333333333333,181.2,155.56666666666666,85.39999999999999,66.46666666666667,42.2,34,-8.0,-8.25,-6.9,-1.9,2.2,7.4,6.9,7.4,3.8,2.7,-2.5,-6.0
66,76.5,30.7,29.7,,,,37.7,112.8,134.9,105.4,100.9,97.7,59.66666666666666,73.60000000000001,106.15,174.20000000000002,216.96666666666667,190.5,173.03333333333333,181.2,155.56666666666666,85.39999999999999,66.46666666666667,42.2,34,-8.0,-8.25,-6.9,-1.9,2.2,7.4,6.9,7.4,3.8,2.7,-2.5,-6.0
67,76.5,30.7,29.7,,,,37.7,112.8,134.9,105.4,100.9,97.7,59.66666666666666,73.60000000000001,106.15,174.20000000000002,216.96666666666667,190.5,173.03333333333333,181.2,155.56666666666666,85.39999999999999,66.46666666666667,42.2,34,-8.0,-8.25,-6.9,-1.9,2.2,7.4,6.9,7.4,3.8,2.7,-2.5,-6.0
68,75.4,34.1,30.1,,,,42.6,90.3,127.7,87.8,99.3,90.3,59.66666666666666,73.60000000000001,106.15,174.20000000000002,216.96666666666667,190.5,173.03333333333333,181.2,155.56666666666666,85.39999999999999,66.46666666666667,42.2,3,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
69,75.4,34.1,30.1,,,,42.6,90.3,127.7,87.8,99.3,90.3,59.66666666666666,73.60000000000001,106.15,174.20000000000002,216.96666666666667,190.5,173.03333333333333,181.2,155.56666666666666,85.39999999999999,66.46666666666667,42.2,3,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
70,75.4,34.1,30.1,,,,42.6,90.3,127.7,87.8,99.3,90.3,59.66666666666666,73.60000000000001,106.15,174.20000000000002,216.96666666666667,190.5,173.03333333333333,181.2,155.56666666666666,85.39999999999999,66.46666666666667,42.2,3,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
71,75.4,34.1,30.1,,,,42.6,90.3,127.7,87.8,99.3,90.3,59.66666666666666,73.60000000000001,106.15,174.20000000000002,216.96666666666667,190.5,173.03333333333333,181.2,155.56666666666666,85.39999999999999,66.46666666666667,42.2,34,-8.0,-8.25,-6.9,-1.9,2.2,7.4,6.9,7.4,3.8,2.7,-2.5,-6.0
72,75.4,34.1,30.1,,,,42.6,90.3,127.7,87.8,99.3,90.3,59.66666666666666,73.60000000000001,106.15,174.20000000000002,216.96666666666667,190.5,173.03333333333333,181.2,155.56666666666666,85.39999999999999,66.46666666666667,42.2,3,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
73,75.4,34.1,30.1,,,,42.6,90.3,127.7,87.8,99.3,90.3,59.66666666666666,73.60000000000001,106.15,174.20000000000002,216.96666666666667,190.5,173.03333333333333,181.2,155.56666666666666,85.39999999999999,66.46666666666667,42.2,3,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
74,75.4,34.1,30.1,,,,42.6,90.3,127.7,87.8,99.3,90.3,59.66666666666666,73.60000000000001,106.15,174.20000000000002,216.96666666666667,190.5,173.03333333333333,181.2,155.56666666666666,85.39999999999999,66.46666666666667,42.2,3,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
75,75.4,34.1,30.1,,,,42.6,90.3,127.7,87.8,99.3,90.3,59.66666666666666,73.60000000000001,106.15,174.20000000000002,216.96666666666667,190.5,173.03333333333333,181.2,155.56666666666666,85.39999999999999,66.46666666666667,42.2,34,-8.0,-8.25,-6.9,-1.9,2.2,7.4,6.9,7.4,3.8,2.7,-2.5,-6.0
76,75.4,34.1,30.1,,,,42.6,90.3,127.7,87.8,99.3,90.3,59.66666666666666,73.60000000000001,106.15,174.20000000000002,216.96666666666667,190.5,173.03333333333333,181.2,155.56666666666666,85.39999999999999,66.46666666666667,42.2,34,-8.0,-8.25,-6.9,-1.9,2.2,7.4,6.9,7.4,3.8,2.7,-2.5,-6.0
77,75.4,34.1,30.1,,,,42.6,90.3,127.7,87.8,99.3,90.3,59.66666666666666,73.60000000000001,106.15,174.20000000000002,216.96666666666667,190.5,173.03333333333333,181.2,155.56666666666666,85.39999999999999,66.46666666666667,42.2,3,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
78,75.4,34.1,30.1,,,,42.6,90.3,127.7,87.8,99.3,90.3,59.66666666666666,73.60000000000001,106.15,174.20000000000002,216.96666666666667,190.5,173.03333333333333,181.2,155.56666666666666,85.39999999999999,66.46666666666667,42.2,3,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
