,geometry,index_right,Unnamed: 0,stationId,x,y,windJanuary,windFebruary,windMarch,windJuly,windAugust,windSeptember,windOctober,windNovember,windDecember
106,"POLYGON ((948433.4348778214 7466684.861747535, 948433.4348778214 7476684.861747535, 938433.4348778214 7476684.861747535, 938433.4348778214 7466684.861747535, 948433.4348778214 7466684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,66.7,115.2,171.9,124.3,103.4,70.5
141,"POLYGON ((958433.4348778214 7446684.861747535, 958433.4348778214 7456684.861747535, 948433.4348778214 7456684.861747535, 948433.4348778214 7446684.861747535, 958433.4348778214 7446684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,66.7,115.2,171.9,124.3,103.4,70.5
142,"POLYGON ((958433.4348778214 7456684.861747535, 958433.4348778214 7466684.861747535, 948433.4348778214 7466684.861747535, 948433.4348778214 7456684.861747535, 958433.4348778214 7456684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,66.7,115.2,171.9,124.3,103.4,70.5
143,"POLYGON ((958433.4348778214 7466684.861747535, 958433.4348778214 7476684.861747535, 948433.4348778214 7476684.861747535, 948433.4348778214 7466684.861747535, 958433.4348778214 7466684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,66.7,115.2,171.9,124.3,103.4,70.5
1,"POLYGON ((908433.4348778214 7476684.861747535, 908433.4348778214 7486684.861747535, 898433.4348778214 7486684.861747535, 898433.4348778214 7476684.861747535, 908433.4348778214 7476684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
2,"POLYGON ((908433.4348778214 7486684.861747535, 908433.4348778214 7496684.861747535, 898433.4348778214 7496684.861747535, 898433.4348778214 7486684.861747535, 908433.4348778214 7486684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
3,"POLYGON ((908433.4348778214 7496684.861747535, 908433.4348778214 7506684.861747535, 898433.4348778214 7506684.861747535, 898433.4348778214 7496684.861747535, 908433.4348778214 7496684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
20,"POLYGON ((918433.4348778214 7476684.861747535, 918433.4348778214 7486684.861747535, 908433.4348778214 7486684.861747535, 908433.4348778214 7476684.861747535, 918433.4348778214 7476684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
21,"POLYGON ((918433.4348778214 7486684.861747535, 918433.4348778214 7496684.861747535, 908433.4348778214 7496684.861747535, 908433.4348778214 7486684.861747535, 918433.4348778214 7486684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
22,"POLYGON ((918433.4348778214 7496684.861747535, 918433.4348778214 7506684.861747535, 908433.4348778214 7506684.861747535, 908433.4348778214 7496684.861747535, 918433.4348778214 7496684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
23,"POLYGON ((918433.4348778214 7506684.861747535, 918433.4348778214 7516684.861747535, 908433.4348778214 7516684.861747535, 908433.4348778214 7506684.861747535, 918433.4348778214 7506684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
24,"POLYGON ((918433.4348778214 7516684.861747535, 918433.4348778214 7526684.861747535, 908433.4348778214 7526684.861747535, 908433.4348778214 7516684.861747535, 918433.4348778214 7516684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
43,"POLYGON ((928433.4348778214 7476684.861747535, 928433.4348778214 7486684.861747535, 918433.4348778214 7486684.861747535, 918433.4348778214 7476684.861747535, 928433.4348778214 7476684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
44,"POLYGON ((928433.4348778214 7486684.861747535, 928433.4348778214 7496684.861747535, 918433.4348778214 7496684.861747535, 918433.4348778214 7486684.861747535, 928433.4348778214 7486684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
45,"POLYGON ((928433.4348778214 7496684.861747535, 928433.4348778214 7506684.861747535, 918433.4348778214 7506684.861747535, 918433.4348778214 7496684.861747535, 928433.4348778214 7496684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
46,"POLYGON ((928433.4348778214 7506684.861747535, 928433.4348778214 7516684.861747535, 918433.4348778214 7516684.861747535, 918433.4348778214 7506684.861747535, 928433.4348778214 7506684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
47,"POLYGON ((928433.4348778214 7516684.861747535, 928433.4348778214 7526684.861747535, 918433.4348778214 7526684.861747535, 918433.4348778214 7516684.861747535, 928433.4348778214 7516684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
48,"POLYGON ((928433.4348778214 7526684.861747535, 928433.4348778214 7536684.861747535, 918433.4348778214 7536684.861747535, 918433.4348778214 7526684.861747535, 928433.4348778214 7526684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
72,"POLYGON ((938433.4348778214 7476684.861747535, 938433.4348778214 7486684.861747535, 928433.4348778214 7486684.861747535, 928433.4348778214 7476684.861747535, 938433.4348778214 7476684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
73,"POLYGON ((938433.4348778214 7486684.861747535, 938433.4348778214 7496684.861747535, 928433.4348778214 7496684.861747535, 928433.4348778214 7486684.861747535, 938433.4348778214 7486684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
74,"POLYGON ((938433.4348778214 7496684.861747535, 938433.4348778214 7506684.861747535, 928433.4348778214 7506684.861747535, 928433.4348778214 7496684.861747535, 938433.4348778214 7496684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
75,"POLYGON ((938433.4348778214 7506684.861747535, 938433.4348778214 7516684.861747535, 928433.4348778214 7516684.861747535, 928433.4348778214 7506684.861747535, 938433.4348778214 7506684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
76,"POLYGON ((938433.4348778214 7516684.861747535, 938433.4348778214 7526684.861747535, 928433.4348778214 7526684.861747535, 928433.4348778214 7516684.861747535, 938433.4348778214 7516684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
77,"POLYGON ((938433.4348778214 7526684.861747535, 938433.4348778214 7536684.861747535, 928433.4348778214 7536684.861747535, 928433.4348778214 7526684.861747535, 938433.4348778214 7526684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
107,"POLYGON ((948433.4348778214 7476684.861747535, 948433.4348778214 7486684.861747535, 938433.4348778214 7486684.861747535, 938433.4348778214 7476684.861747535, 948433.4348778214 7476684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
108,"POLYGON ((948433.4348778214 7486684.861747535, 948433.4348778214 7496684.861747535, 938433.4348778214 7496684.861747535, 938433.4348778214 7486684.861747535, 948433.4348778214 7486684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
109,"POLYGON ((948433.4348778214 7496684.861747535, 948433.4348778214 7506684.861747535, 938433.4348778214 7506684.861747535, 938433.4348778214 7496684.861747535, 948433.4348778214 7496684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
110,"POLYGON ((948433.4348778214 7506684.861747535, 948433.4348778214 7516684.861747535, 938433.4348778214 7516684.861747535, 938433.4348778214 7506684.861747535, 948433.4348778214 7506684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
111,"POLYGON ((948433.4348778214 7516684.861747535, 948433.4348778214 7526684.861747535, 938433.4348778214 7526684.861747535, 938433.4348778214 7516684.861747535, 948433.4348778214 7516684.861747535))",31,31,5329,8.3327,55.723,98.9,25.1,34.4,58.7,76.3,175.6,127.7,103.0,92.4
4,"POLYGON ((908433.4348778214 7536684.861747535, 908433.4348778214 7546684.861747535, 898433.4348778214 7546684.861747535, 898433.4348778214 7536684.861747535, 908433.4348778214 7536684.861747535))",92,92,6058,8.1413,56.0072,89.2,26.9,24.6,36.2,79.2,85.6,63.5,65.2,86.2
5,"POLYGON ((908433.4348778214 7546684.861747535, 908433.4348778214 7556684.861747535, 898433.4348778214 7556684.861747535, 898433.4348778214 7546684.861747535, 908433.4348778214 7546684.861747535))",92,92,6058,8.1413,56.0072,89.2,26.9,24.6,36.2,79.2,85.6,63.5,65.2,86.2
6,"POLYGON ((908433.4348778214 7556684.861747535, 908433.4348778214 7566684.861747535, 898433.4348778214 7566684.861747535, 898433.4348778214 7556684.861747535, 908433.4348778214 7556684.861747535))",92,92,6058,8.1413,56.0072,89.2,26.9,24.6,36.2,79.2,85.6,63.5,65.2,86.2
7,"POLYGON ((908433.4348778214 7566684.861747535, 908433.4348778214 7576684.861747535, 898433.4348778214 7576684.861747535, 898433.4348778214 7566684.861747535, 908433.4348778214 7566684.861747535))",92,92,6058,8.1413,56.0072,89.2,26.9,24.6,36.2,79.2,85.6,63.5,65.2,86.2
8,"POLYGON ((908433.4348778214 7576684.861747535, 908433.4348778214 7586684.861747535, 898433.4348778214 7586684.861747535, 898433.4348778214 7576684.861747535, 908433.4348778214 7576684.861747535))",92,92,6058,8.1413,56.0072,89.2,26.9,24.6,36.2,79.2,85.6,63.5,65.2,86.2
25,"POLYGON ((918433.4348778214 7526684.861747535, 918433.4348778214 7536684.861747535, 908433.4348778214 7536684.861747535, 908433.4348778214 7526684.861747535, 918433.4348778214 7526684.861747535))",92,92,6058,8.1413,56.0072,89.2,26.9,24.6,36.2,79.2,85.6,63.5,65.2,86.2
26,"POLYGON ((918433.4348778214 7536684.861747535, 918433.4348778214 7546684.861747535, 908433.4348778214 7546684.861747535, 908433.4348778214 7536684.861747535, 918433.4348778214 7536684.861747535))",92,92,6058,8.1413,56.0072,89.2,26.9,24.6,36.2,79.2,85.6,63.5,65.2,86.2
27,"POLYGON ((918433.4348778214 7546684.861747535, 918433.4348778214 7556684.861747535, 908433.4348778214 7556684.861747535, 908433.4348778214 7546684.861747535, 918433.4348778214 7546684.861747535))",92,92,6058,8.1413,56.0072,89.2,26.9,24.6,36.2,79.2,85.6,63.5,65.2,86.2
28,"POLYGON ((918433.4348778214 7576684.861747535, 918433.4348778214 7586684.861747535, 908433.4348778214 7586684.861747535, 908433.4348778214 7576684.861747535, 918433.4348778214 7576684.861747535))",92,92,6058,8.1413,56.0072,89.2,26.9,24.6,36.2,79.2,85.6,63.5,65.2,86.2
49,"POLYGON ((928433.4348778214 7556684.861747535, 928433.4348778214 7566684.861747535, 918433.4348778214 7566684.861747535, 918433.4348778214 7556684.861747535, 928433.4348778214 7556684.861747535))",92,92,6058,8.1413,56.0072,89.2,26.9,24.6,36.2,79.2,85.6,63.5,65.2,86.2
50,"POLYGON ((928433.4348778214 7566684.861747535, 928433.4348778214 7576684.861747535, 918433.4348778214 7576684.861747535, 918433.4348778214 7566684.861747535, 928433.4348778214 7566684.861747535))",92,92,6058,8.1413,56.0072,89.2,26.9,24.6,36.2,79.2,85.6,63.5,65.2,86.2
80,"POLYGON ((938433.4348778214 7556684.861747535, 938433.4348778214 7566684.861747535, 928433.4348778214 7566684.861747535, 928433.4348778214 7556684.861747535, 938433.4348778214 7556684.861747535))",92,92,6058,8.1413,56.0072,89.2,26.9,24.6,36.2,79.2,85.6,63.5,65.2,86.2
9,"POLYGON ((908433.4348778214 7586684.861747535, 908433.4348778214 7596684.861747535, 898433.4348778214 7596684.861747535, 898433.4348778214 7586684.861747535, 908433.4348778214 7586684.861747535))",22,22,5300,8.1653,56.2601,76.5,30.7,29.7,37.7,112.8,134.9,105.4,100.9,97.7
10,"POLYGON ((908433.4348778214 7596684.861747535, 908433.4348778214 7606684.861747535, 898433.4348778214 7606684.861747535, 898433.4348778214 7596684.861747535, 908433.4348778214 7596684.861747535))",22,22,5300,8.1653,56.2601,76.5,30.7,29.7,37.7,112.8,134.9,105.4,100.9,97.7
11,"POLYGON ((908433.4348778214 7606684.861747535, 908433.4348778214 7616684.861747535, 898433.4348778214 7616684.861747535, 898433.4348778214 7606684.861747535, 908433.4348778214 7606684.861747535))",22,22,5300,8.1653,56.2601,76.5,30.7,29.7,37.7,112.8,134.9,105.4,100.9,97.7
12,"POLYGON ((908433.4348778214 7616684.861747535, 908433.4348778214 7626684.861747535, 898433.4348778214 7626684.861747535, 898433.4348778214 7616684.861747535, 908433.4348778214 7616684.861747535))",22,22,5300,8.1653,56.2601,76.5,30.7,29.7,37.7,112.8,134.9,105.4,100.9,97.7
29,"POLYGON ((918433.4348778214 7586684.861747535, 918433.4348778214 7596684.861747535, 908433.4348778214 7596684.861747535, 908433.4348778214 7586684.861747535, 918433.4348778214 7586684.861747535))",22,22,5300,8.1653,56.2601,76.5,30.7,29.7,37.7,112.8,134.9,105.4,100.9,97.7
30,"POLYGON ((918433.4348778214 7596684.861747535, 918433.4348778214 7606684.861747535, 908433.4348778214 7606684.861747535, 908433.4348778214 7596684.861747535, 918433.4348778214 7596684.861747535))",22,22,5300,8.1653,56.2601,76.5,30.7,29.7,37.7,112.8,134.9,105.4,100.9,97.7
31,"POLYGON ((918433.4348778214 7606684.861747535, 918433.4348778214 7616684.861747535, 908433.4348778214 7616684.861747535, 908433.4348778214 7606684.861747535, 918433.4348778214 7606684.861747535))",22,22,5300,8.1653,56.2601,76.5,30.7,29.7,37.7,112.8,134.9,105.4,100.9,97.7
32,"POLYGON ((918433.4348778214 7616684.861747535, 918433.4348778214 7626684.861747535, 908433.4348778214 7626684.861747535, 908433.4348778214 7616684.861747535, 918433.4348778214 7616684.861747535))",22,22,5300,8.1653,56.2601,76.5,30.7,29.7,37.7,112.8,134.9,105.4,100.9,97.7
53,"POLYGON ((928433.4348778214 7596684.861747535, 928433.4348778214 7606684.861747535, 918433.4348778214 7606684.861747535, 918433.4348778214 7596684.861747535, 928433.4348778214 7596684.861747535))",22,22,5300,8.1653,56.2601,76.5,30.7,29.7,37.7,112.8,134.9,105.4,100.9,97.7
54,"POLYGON ((928433.4348778214 7606684.861747535, 928433.4348778214 7616684.861747535, 918433.4348778214 7616684.861747535, 918433.4348778214 7606684.861747535, 928433.4348778214 7606684.861747535))",22,22,5300,8.1653,56.2601,76.5,30.7,29.7,37.7,112.8,134.9,105.4,100.9,97.7
55,"POLYGON ((928433.4348778214 7616684.861747535, 928433.4348778214 7626684.861747535, 918433.4348778214 7626684.861747535, 918433.4348778214 7616684.861747535, 928433.4348778214 7616684.861747535))",22,22,5300,8.1653,56.2601,76.5,30.7,29.7,37.7,112.8,134.9,105.4,100.9,97.7
56,"POLYGON ((928433.4348778214 7626684.861747535, 928433.4348778214 7636684.861747535, 918433.4348778214 7636684.861747535, 918433.4348778214 7626684.861747535, 928433.4348778214 7626684.861747535))",22,22,5300,8.1653,56.2601,76.5,30.7,29.7,37.7,112.8,134.9,105.4,100.9,97.7
86,"POLYGON ((938433.4348778214 7616684.861747535, 938433.4348778214 7626684.861747535, 928433.4348778214 7626684.861747535, 928433.4348778214 7616684.861747535, 938433.4348778214 7616684.861747535))",22,22,5300,8.1653,56.2601,76.5,30.7,29.7,37.7,112.8,134.9,105.4,100.9,97.7
87,"POLYGON ((938433.4348778214 7626684.861747535, 938433.4348778214 7636684.861747535, 928433.4348778214 7636684.861747535, 928433.4348778214 7626684.861747535, 938433.4348778214 7626684.861747535))",22,22,5300,8.1653,56.2601,76.5,30.7,29.7,37.7,112.8,134.9,105.4,100.9,97.7
13,"POLYGON ((908433.4348778214 7646684.861747535, 908433.4348778214 7656684.861747535, 898433.4348778214 7656684.861747535, 898433.4348778214 7646684.861747535, 908433.4348778214 7646684.861747535))",7,7,5296,8.1465,56.5032,75.4,34.1,30.1,42.6,90.3,127.7,87.8,99.3,90.3
14,"POLYGON ((908433.4348778214 7656684.861747535, 908433.4348778214 7666684.861747535, 898433.4348778214 7666684.861747535, 898433.4348778214 7656684.861747535, 908433.4348778214 7656684.861747535))",7,7,5296,8.1465,56.5032,75.4,34.1,30.1,42.6,90.3,127.7,87.8,99.3,90.3
15,"POLYGON ((908433.4348778214 7666684.861747535, 908433.4348778214 7676684.861747535, 898433.4348778214 7676684.861747535, 898433.4348778214 7666684.861747535, 908433.4348778214 7666684.861747535))",7,7,5296,8.1465,56.5032,75.4,34.1,30.1,42.6,90.3,127.7,87.8,99.3,90.3
33,"POLYGON ((918433.4348778214 7636684.861747535, 918433.4348778214 7646684.861747535, 908433.4348778214 7646684.861747535, 908433.4348778214 7636684.861747535, 918433.4348778214 7636684.861747535))",7,7,5296,8.1465,56.5032,75.4,34.1,30.1,42.6,90.3,127.7,87.8,99.3,90.3
34,"POLYGON ((918433.4348778214 7646684.861747535, 918433.4348778214 7656684.861747535, 908433.4348778214 7656684.861747535, 908433.4348778214 7646684.861747535, 918433.4348778214 7646684.861747535))",7,7,5296,8.1465,56.5032,75.4,34.1,30.1,42.6,90.3,127.7,87.8,99.3,90.3
35,"POLYGON ((918433.4348778214 7656684.861747535, 918433.4348778214 7666684.861747535, 908433.4348778214 7666684.861747535, 908433.4348778214 7656684.861747535, 918433.4348778214 7656684.861747535))",7,7,5296,8.1465,56.5032,75.4,34.1,30.1,42.6,90.3,127.7,87.8,99.3,90.3
36,"POLYGON ((918433.4348778214 7666684.861747535, 918433.4348778214 7676684.861747535, 908433.4348778214 7676684.861747535, 908433.4348778214 7666684.861747535, 918433.4348778214 7666684.861747535))",7,7,5296,8.1465,56.5032,75.4,34.1,30.1,42.6,90.3,127.7,87.8,99.3,90.3
57,"POLYGON ((928433.4348778214 7636684.861747535, 928433.4348778214 7646684.861747535, 918433.4348778214 7646684.861747535, 918433.4348778214 7636684.861747535, 928433.4348778214 7636684.861747535))",7,7,5296,8.1465,56.5032,75.4,34.1,30.1,42.6,90.3,127.7,87.8,99.3,90.3
58,"POLYGON ((928433.4348778214 7646684.861747535, 928433.4348778214 7656684.861747535, 918433.4348778214 7656684.861747535, 918433.4348778214 7646684.861747535, 928433.4348778214 7646684.861747535))",7,7,5296,8.1465,56.5032,75.4,34.1,30.1,42.6,90.3,127.7,87.8,99.3,90.3
59,"POLYGON ((928433.4348778214 7656684.861747535, 928433.4348778214 7666684.861747535, 918433.4348778214 7666684.861747535, 918433.4348778214 7656684.861747535, 928433.4348778214 7656684.861747535))",7,7,5296,8.1465,56.5032,75.4,34.1,30.1,42.6,90.3,127.7,87.8,99.3,90.3
60,"POLYGON ((928433.4348778214 7666684.861747535, 928433.4348778214 7676684.861747535, 918433.4348778214 7676684.861747535, 918433.4348778214 7666684.861747535, 928433.4348778214 7666684.861747535))",7,7,5296,8.1465,56.5032,75.4,34.1,30.1,42.6,90.3,127.7,87.8,99.3,90.3
88,"POLYGON ((938433.4348778214 7636684.861747535, 938433.4348778214 7646684.861747535, 928433.4348778214 7646684.861747535, 928433.4348778214 7636684.861747535, 938433.4348778214 7636684.861747535))",7,7,5296,8.1465,56.5032,75.4,34.1,30.1,42.6,90.3,127.7,87.8,99.3,90.3
89,"POLYGON ((938433.4348778214 7646684.861747535, 938433.4348778214 7656684.861747535, 928433.4348778214 7656684.861747535, 928433.4348778214 7646684.861747535, 938433.4348778214 7646684.861747535))",7,7,5296,8.1465,56.5032,75.4,34.1,30.1,42.6,90.3,127.7,87.8,99.3,90.3
90,"POLYGON ((938433.4348778214 7656684.861747535, 938433.4348778214 7666684.861747535, 928433.4348778214 7666684.861747535, 928433.4348778214 7656684.861747535, 938433.4348778214 7656684.861747535))",7,7,5296,8.1465,56.5032,75.4,34.1,30.1,42.6,90.3,127.7,87.8,99.3,90.3
123,"POLYGON ((948433.4348778214 7636684.861747535, 948433.4348778214 7646684.861747535, 938433.4348778214 7646684.861747535, 938433.4348778214 7636684.861747535, 948433.4348778214 7636684.861747535))",7,7,5296,8.1465,56.5032,75.4,34.1,30.1,42.6,90.3,127.7,87.8,99.3,90.3
124,"POLYGON ((948433.4348778214 7646684.861747535, 948433.4348778214 7656684.861747535, 938433.4348778214 7656684.861747535, 938433.4348778214 7646684.861747535, 948433.4348778214 7646684.861747535))",7,7,5296,8.1465,56.5032,75.4,34.1,30.1,42.6,90.3,127.7,87.8,99.3,90.3
16,"POLYGON ((908433.4348778214 7676684.861747535, 908433.4348778214 7686684.861747535, 898433.4348778214 7686684.861747535, 898433.4348778214 7676684.861747535, 908433.4348778214 7676684.861747535))",24,24,6052,8.215,56.7068,73.0,22.7,27.0,70.3,100.5,115.0,101.6,95.8,91.7
17,"POLYGON ((908433.4348778214 7686684.861747535, 908433.4348778214 7696684.861747535, 898433.4348778214 7696684.861747535, 898433.4348778214 7686684.861747535, 908433.4348778214 7686684.861747535))",24,24,6052,8.215,56.7068,73.0,22.7,27.0,70.3,100.5,115.0,101.6,95.8,91.7
37,"POLYGON ((918433.4348778214 7676684.861747535, 918433.4348778214 7686684.861747535, 908433.4348778214 7686684.861747535, 908433.4348778214 7676684.861747535, 918433.4348778214 7676684.861747535))",24,24,6052,8.215,56.7068,73.0,22.7,27.0,70.3,100.5,115.0,101.6,95.8,91.7
38,"POLYGON ((918433.4348778214 7686684.861747535, 918433.4348778214 7696684.861747535, 908433.4348778214 7696684.861747535, 908433.4348778214 7686684.861747535, 918433.4348778214 7686684.861747535))",24,24,6052,8.215,56.7068,73.0,22.7,27.0,70.3,100.5,115.0,101.6,95.8,91.7
39,"POLYGON ((918433.4348778214 7706684.861747535, 918433.4348778214 7716684.861747535, 908433.4348778214 7716684.861747535, 908433.4348778214 7706684.861747535, 918433.4348778214 7706684.861747535))",24,24,6052,8.215,56.7068,73.0,22.7,27.0,70.3,100.5,115.0,101.6,95.8,91.7
61,"POLYGON ((928433.4348778214 7676684.861747535, 928433.4348778214 7686684.861747535, 918433.4348778214 7686684.861747535, 918433.4348778214 7676684.861747535, 928433.4348778214 7676684.861747535))",24,24,6052,8.215,56.7068,73.0,22.7,27.0,70.3,100.5,115.0,101.6,95.8,91.7
62,"POLYGON ((928433.4348778214 7696684.861747535, 928433.4348778214 7706684.861747535, 918433.4348778214 7706684.861747535, 918433.4348778214 7696684.861747535, 928433.4348778214 7696684.861747535))",24,24,6052,8.215,56.7068,73.0,22.7,27.0,70.3,100.5,115.0,101.6,95.8,91.7
40,"POLYGON ((918433.4348778214 7716684.861747535, 918433.4348778214 7726684.861747535, 908433.4348778214 7726684.861747535, 908433.4348778214 7716684.861747535, 918433.4348778214 7716684.861747535))",59,59,6051,8.3207,56.7637,85.7,23.1,28.6,56.6,107.1,97.8,103.6,87.7,95.4
63,"POLYGON ((928433.4348778214 7706684.861747535, 928433.4348778214 7716684.861747535, 918433.4348778214 7716684.861747535, 918433.4348778214 7706684.861747535, 928433.4348778214 7706684.861747535))",59,59,6051,8.3207,56.7637,85.7,23.1,28.6,56.6,107.1,97.8,103.6,87.7,95.4
